,actualDelay,areaId,areaId1,areaId2,areaId3,atStop,busStop,congestion,coordinates,datetime,day,dayOfWeek,delay,delay_interval,directionLine,distanceCovered,ellapsedTime,event_around,event_around_bool,gridID,hour,id,journeyPatternId,justLeftStop,justStopped,latitude,lineId,longitude,minute,month,patternLine,relevant_tweet,relevant_tweet_bool,vehicleId,vehicleSpeed,year
nl2jPHcBXOWlsYmdRFTk,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.232667, 53.2811]",2017-10-23 18:54:47,23.0,2.0,677.0,8.0,0,0.24007608289396523,17000.0,no,0.0,"165,67",18.0,59ee2d16e45b4b6341e6f6f3,044B0001,0.0,0.0,53.2811,44,-6.232667,54.0,10.0,044B,no,0.0,28052.0,50.0,2017.0
Ol2jPHcBXOWlsYmdRFbk,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.233733, 53.282417]",2017-10-23 18:55:12,23.0,2.0,677.0,8.0,0,0.1626904480188461,25000.0,no,0.0,"165,68",18.0,59ee2d2ee45b4b6341e6f8a9,044B0001,0.0,0.0,53.282417,44,-6.233733,55.0,10.0,044B,no,0.0,28052.0,23.0,2017.0
mV2jPHcBXOWlsYmdRmUJ,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.2372, 53.284567]",2017-10-23 18:55:47,23.0,2.0,677.0,8.0,0,0.19412752309271245,21000.0,no,0.0,"164,69",18.0,59ee2d54e45b4b6341e6fc91,044B0001,0.0,0.0,53.284567,44,-6.2372,55.0,10.0,044B,no,0.0,28052.0,33.0,2017.0
YF2jPHcBXOWlsYmdRm-a,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.2381, 53.285333]",2017-10-23 18:56:07,23.0,2.0,677.0,8.0,0,0.10408796211109808,20000.0,no,0.0,"164,69",18.0,59ee2d68e45b4b6341e6feaa,044B0001,0.0,0.0,53.285333,44,-6.2381,56.0,10.0,044B,no,0.0,28052.0,18.0,2017.0
zF2jPHcBXOWlsYmdRnCa,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.238117, 53.285333]",2017-10-23 18:56:26,23.0,2.0,677.0,8.0,0,0.0011300869738963364,19000.0,no,0.0,"164,69",18.0,59ee2d7be45b4b6341e70032,044B0001,0.0,0.0,53.285333,44,-6.238117,56.0,10.0,044B,no,0.0,28052.0,0.0,2017.0
UV2jPHcBXOWlsYmdR3ok,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.239117, 53.2852]",2017-10-23 18:56:45,23.0,2.0,677.0,8.0,0,0.06810099362642591,19000.0,no,0.0,"163,69",18.0,59ee2d94e45b4b6341e70205,044B0001,0.0,0.0,53.2852,44,-6.239117,56.0,10.0,044B,no,0.0,28052.0,12.0,2017.0
pF2jPHcBXOWlsYmdR3sk,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.24005, 53.284733]",2017-10-23 18:57:07,23.0,2.0,677.0,8.0,0,0.08089063004132527,22000.0,no,0.0,"163,69",18.0,59ee2da5e45b4b6341e70370,044B0001,0.0,0.0,53.284733,44,-6.24005,57.0,10.0,044B,no,0.0,28052.0,13.0,2017.0
fl2jPHcBXOWlsYmdR30k,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.241783, 53.28555]",2017-10-23 18:57:28,23.0,2.0,677.0,8.0,0,0.14671316565100848,21000.0,no,0.0,"162,69",18.0,59ee2dbbe45b4b6341e70567,044B0001,0.0,0.0,53.28555,44,-6.241783,57.0,10.0,044B,no,0.0,28052.0,25.0,2017.0
5V2jPHcBXOWlsYmdR4bq,0.0,967.0,14.0,241.0,967.0,0.0,3514.0,0.0,"[-6.2433, 53.287]",2017-10-23 18:57:47,23.0,2.0,677.0,8.0,0,0.1901708637622685,19000.0,no,0.0,"162,70",18.0,59ee2dcae45b4b6341e70718,044B0001,0.0,0.0,53.287,44,-6.2433,57.0,10.0,044B,no,0.0,28052.0,36.0,2017.0
N16jPHcBXOWlsYmdl-W7,0.0,3873.0,14.0,241.0,3873.0,1.0,2825.0,0.0,"[-6.245749, 53.292484]",2017-10-23 17:22:03,23.0,2.0,0.0,4.0,0,0.0,1800000.0,no,0.0,"161,73",17.0,59ee175de45b4b6341e53212,044B0001,0.0,0.0,53.292484,44,-6.245749,22.0,10.0,044B,no,0.0,28051.0,0.0,2017.0
-lSgPHcBXOWlsYmd76PL,0.0,3873.0,14.0,241.0,3873.0,0.0,2827.0,0.0,"[-6.241556, 53.288033]",2017-10-23 09:49:09,23.0,2.0,97.0,5.0,0,0.21019072506402606,62000.0,no,0.0,"163,71",9.0,59edad36e45b4b6341dc8da0,044B0001,0.0,0.0,53.288033,44,-6.241556,49.0,10.0,044B,no,0.0,28051.0,12.0,2017.0
TVSgPHcBXOWlsYmd76TL,-90.0,967.0,14.0,241.0,967.0,0.0,2829.0,0.0,"[-6.238511, 53.285851]",2017-10-23 09:49:12,23.0,2.0,7.0,4.0,0,0.3159718225393551,3000.0,no,0.0,"164,70",9.0,59edad3ae45b4b6341dc8df8,044B0001,0.0,0.0,53.285851,44,-6.238511,49.0,10.0,044B,no,0.0,28051.0,,2017.0
NFSgPHcBXOWlsYmd76bL,20.0,967.0,14.0,241.0,967.0,0.0,2829.0,0.0,"[-6.238511, 53.285851]",2017-10-23 09:49:27,23.0,2.0,27.0,4.0,0,0.0,15000.0,no,0.0,"164,70",9.0,59edad4ae45b4b6341dc8ffb,044B0001,0.0,0.0,53.285851,44,-6.238511,49.0,10.0,044B,no,0.0,28051.0,0.0,2017.0
ulSgPHcBXOWlsYmd8LOz,0.0,967.0,14.0,241.0,967.0,0.0,2831.0,0.0,"[-6.233345, 53.281851]",2017-10-23 09:50:26,23.0,2.0,-3.0,4.0,0,0.2584102046023911,13000.0,no,0.0,"165,67",9.0,59edad86e45b4b6341dc9605,044B0001,0.0,0.0,53.281851,44,-6.233345,50.0,10.0,044B,no,0.0,28051.0,71.0,2017.0
i1SgPHcBXOWlsYmd8LWz,-22.0,967.0,14.0,241.0,967.0,0.0,2831.0,0.0,"[-6.23195, 53.279854]",2017-10-23 09:50:52,23.0,2.0,-25.0,4.0,0,0.24064561459987752,26000.0,no,0.0,"166,66",9.0,59edad9ae45b4b6341dc97ec,044B0001,0.0,0.0,53.279854,44,-6.23195,50.0,10.0,044B,no,0.0,28051.0,33.0,2017.0
GVWhPHcBXOWlsYmdQ8iz,20.0,238.0,14.0,238.0,238.0,0.0,3499.0,1.0,"[-6.232213, 53.258888]",2017-10-23 16:07:01,23.0,2.0,413.0,7.0,0,0.0,20000.0,no,0.0,"166,55",16.0,59ee05c3e45b4b6341e35073,044B0001,0.0,0.0,53.258888,44,-6.232213,7.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,0.0,2017.0
w1WhPHcBXOWlsYmdQ8mz,16.0,238.0,14.0,238.0,238.0,0.0,3499.0,1.0,"[-6.232324, 53.258684]",2017-10-23 16:07:21,23.0,2.0,429.0,7.0,0,0.02385513770304535,20000.0,no,0.0,"166,54",16.0,59ee05dbe45b4b6341e35237,044B0001,0.0,0.0,53.258684,44,-6.232324,7.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,4.0,2017.0
TFWhPHcBXOWlsYmdRMtS,16.0,238.0,14.0,238.0,238.0,0.0,3499.0,1.0,"[-6.232372, 53.258488]",2017-10-23 16:07:41,23.0,2.0,445.0,7.0,0,0.022026837429485895,20000.0,no,0.0,"166,54",16.0,59ee05eee45b4b6341e353d4,044B0001,0.0,0.0,53.258488,44,-6.232372,7.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,3.0,2017.0
LFWhPHcBXOWlsYmdRM1S,0.0,238.0,14.0,238.0,238.0,0.0,3499.0,0.0,"[-6.232301, 53.25776]",2017-10-23 16:08:01,23.0,2.0,445.0,7.0,0,0.08108755778764394,20000.0,no,0.0,"166,54",16.0,59ee0603e45b4b6341e355d8,044B0001,0.0,0.0,53.25776,44,-6.232301,8.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,14.0,2017.0
-lWhPHcBXOWlsYmdRM6-,0.0,238.0,14.0,238.0,238.0,0.0,3499.0,0.0,"[-6.23234, 53.257186]",2017-10-23 16:08:22,23.0,2.0,445.0,7.0,0,0.06387858842916637,21000.0,no,0.0,"166,54",16.0,59ee0617e45b4b6341e357cd,044B0001,0.0,0.0,53.257186,44,-6.23234,8.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,10.0,2017.0
j1WhPHcBXOWlsYmdRNC-,22.0,238.0,14.0,238.0,238.0,0.0,3499.0,0.0,"[-6.232293, 53.256736]",2017-10-23 16:08:42,23.0,2.0,467.0,7.0,0,0.05013529395762443,20000.0,no,0.0,"166,53",16.0,59ee062ce45b4b6341e3597c,044B0001,0.0,0.0,53.256736,44,-6.232293,8.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,9.0,2017.0
eFWhPHcBXOWlsYmdRdI8,0.0,238.0,14.0,238.0,238.0,0.0,3500.0,0.0,"[-6.231745, 53.255484]",2017-10-23 16:09:01,23.0,2.0,467.0,7.0,0,0.14390959886821703,19000.0,no,0.0,"166,53",16.0,59ee063fe45b4b6341e35b85,044B0001,0.0,0.0,53.255484,44,-6.231745,9.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,27.0,2017.0
UlWhPHcBXOWlsYmdRdQ8,0.0,238.0,14.0,238.0,238.0,0.0,3500.0,0.0,"[-6.230743, 53.254174]",2017-10-23 16:09:22,23.0,2.0,467.0,7.0,0,0.16019189719214585,21000.0,no,0.0,"166,52",16.0,59ee0653e45b4b6341e35d7f,044B0001,0.0,0.0,53.254174,44,-6.230743,9.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,27.0,2017.0
AFWhPHcBXOWlsYmdRdai,0.0,961.0,14.0,240.0,961.0,0.0,3500.0,0.0,"[-6.229144, 53.253015]",2017-10-23 16:09:42,23.0,2.0,467.0,7.0,0,0.1671050123480439,20000.0,no,0.0,"167,51",16.0,59ee0665e45b4b6341e35f4c,044B0001,0.0,0.0,53.253015,44,-6.229144,9.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,30.0,2017.0
0FWhPHcBXOWlsYmdRdei,0.0,961.0,14.0,240.0,961.0,0.0,3501.0,0.0,"[-6.227061, 53.252523]",2017-10-23 16:10:01,23.0,2.0,467.0,7.0,0,0.1489826094069621,19000.0,no,0.0,"167,51",16.0,59ee067de45b4b6341e36141,044B0001,0.0,0.0,53.252523,44,-6.227061,10.0,10.0,044B,#DBSvcUpdate October Bank Holiday Arrangements 2017 https://t.co/vtbCKchhzQ https://t.co/qpvFVUhj2z,0.0,28051.0,28.0,2017.0
