,actualDelay,areaId,areaId1,areaId2,areaId3,atStop,busStop,congestion,coordinates,datetime,day,dayOfWeek,delay,delay_interval,directionLine,distanceCovered,ellapsedTime,event_around,event_around_bool,gridID,hour,id,journeyPatternId,justLeftStop,justStopped,latitude,lineId,longitude,minute,month,patternLine,relevant_tweet,relevant_tweet_bool,vehicleId,vehicleSpeed,year
zV7gPXcBXOWlsYmd8pCK,18.0,17010.0,16.0,265.0,4252.0,0.0,3032.0,0.0,"[-6.182985, 53.302503]",2018-03-13 15:32:28,13.0,3.0,-84.0,3.0,0,0.0,21000.0,no,0.0,"182,79",15.0,5aa7ef13e45b4b4b55458c57,007A0001,0.0,0.0,53.302503,7,-6.182985,32.0,3.0,007A,no,0.0,44110.0,0.0,2018.0
A17gPXcBXOWlsYmd8pGK,19.0,16970.0,16.0,264.0,4242.0,0.0,3212.0,0.0,"[-6.140764, 53.269854]",2018-03-13 15:32:30,13.0,3.0,142.0,5.0,0,0.0,21000.0,no,0.0,"196,61",15.0,5aa7ef16e45b4b4b55458c93,007A0001,0.0,0.0,53.269854,7,-6.140764,32.0,3.0,007A,no,0.0,44241.0,0.0,2018.0
mF7gPXcBXOWlsYmd8pKK,0.0,17010.0,16.0,265.0,4252.0,0.0,3032.0,0.0,"[-6.182139, 53.302192]",2018-03-13 15:32:48,13.0,3.0,-84.0,3.0,0,0.06600100650661819,20000.0,no,0.0,"182,79",15.0,5aa7ef29e45b4b4b55458e3a,007A0001,0.0,0.0,53.302192,7,-6.182139,32.0,3.0,007A,no,0.0,44110.0,11.0,2018.0
tV7gPXcBXOWlsYmd8pKK,0.0,16970.0,16.0,264.0,4242.0,0.0,3212.0,0.0,"[-6.140629, 53.269439]",2018-03-13 15:32:50,13.0,3.0,142.0,5.0,0,0.04701105558297117,20000.0,no,0.0,"196,60",15.0,5aa7ef31e45b4b4b55458e5a,007A0001,0.0,0.0,53.269439,7,-6.140629,32.0,3.0,007A,no,0.0,44241.0,8.0,2018.0
A17gPXcBXOWlsYmd8pOK,0.0,73069.0,17.0,285.0,4566.0,0.0,273.0,0.0,"[-6.259291, 53.347995]",2018-03-13 15:33:01,13.0,3.0,149.0,5.0,0,0.06808320470907978,41000.0,no,0.0,"157,104",15.0,5aa7ef31e45b4b4b55458ead,007A0001,0.0,0.0,53.347995,7,-6.259291,33.0,3.0,007A,no,0.0,43083.0,5.0,2018.0
717gPXcBXOWlsYmd85MM,0.0,17012.0,16.0,265.0,4252.0,0.0,3033.0,0.0,"[-6.179978, 53.302312]",2018-03-13 15:33:08,13.0,3.0,-84.0,3.0,0,0.14421572814635986,20000.0,no,0.0,"183,79",15.0,5aa7ef39e45b4b4b55458fa2,007A0001,0.0,0.0,53.302312,7,-6.179978,33.0,3.0,007A,no,0.0,44110.0,25.0,2018.0
N17gPXcBXOWlsYmd85QM,27.0,16970.0,16.0,264.0,4242.0,0.0,3212.0,0.0,"[-6.140586, 53.269413]",2018-03-13 15:33:10,13.0,3.0,169.0,5.0,0,0.004066340529599104,20000.0,no,0.0,"196,60",15.0,5aa7ef3fe45b4b4b55458feb,007A0001,0.0,0.0,53.269413,7,-6.140586,33.0,3.0,007A,no,0.0,44241.0,0.0,2018.0
EV7gPXcBXOWlsYmd85UM,17.0,73069.0,17.0,285.0,4566.0,0.0,273.0,0.0,"[-6.259214, 53.347805]",2018-03-13 15:33:22,13.0,3.0,166.0,5.0,0,0.021736497310476933,21000.0,no,0.0,"157,104",15.0,5aa7ef47e45b4b4b554590d2,007A0001,0.0,0.0,53.347805,7,-6.259214,33.0,3.0,007A,no,0.0,43083.0,3.0,2018.0
ql7gPXcBXOWlsYmd85UM,0.0,16970.0,16.0,264.0,4242.0,0.0,3212.0,0.0,"[-6.140066, 53.269105]",2018-03-13 15:33:29,13.0,3.0,169.0,5.0,0,0.04866959978805962,19000.0,no,0.0,"196,60",15.0,5aa7ef4fe45b4b4b5545917d,007A0001,0.0,0.0,53.269105,7,-6.140066,33.0,3.0,007A,no,0.0,44241.0,9.0,2018.0
uF7gPXcBXOWlsYmd85UM,-20.0,17012.0,16.0,265.0,4252.0,0.0,3033.0,0.0,"[-6.178227, 53.301867]",2018-03-13 15:33:29,13.0,3.0,-104.0,3.0,0,0.1264378700272736,21000.0,no,0.0,"184,78",15.0,5aa7ef53e45b4b4b5545918c,007A0001,0.0,0.0,53.301867,7,-6.178227,33.0,3.0,007A,no,0.0,44110.0,21.0,2018.0
wF7gPXcBXOWlsYmd85YM,0.0,17012.0,16.0,265.0,4252.0,0.0,3034.0,0.0,"[-6.177907, 53.301698]",2018-03-13 15:33:47,13.0,3.0,-104.0,3.0,0,0.028377743212875037,18000.0,no,0.0,"184,78",15.0,5aa7ef60e45b4b4b554592a2,007A0001,0.0,0.0,53.301698,7,-6.177907,33.0,3.0,007A,no,0.0,44110.0,5.0,2018.0
c17gPXcBXOWlsYmd85cM,27.0,16970.0,16.0,264.0,4242.0,0.0,3213.0,0.0,"[-6.139796, 53.268946]",2018-03-13 15:33:49,13.0,3.0,196.0,6.0,0,0.025198701940495626,20000.0,no,0.0,"196,60",15.0,5aa7ef6de45b4b4b55459363,007A0001,0.0,0.0,53.268946,7,-6.139796,33.0,3.0,007A,no,0.0,44241.0,4.0,2018.0
317gPXcBXOWlsYmd85iI,-22.0,16970.0,16.0,264.0,4242.0,0.0,3213.0,0.0,"[-6.137292, 53.267498]",2018-03-13 15:34:12,13.0,3.0,174.0,5.0,0,0.2316329335648281,23000.0,no,0.0,"197,59",15.0,5aa7ef7de45b4b4b554594e8,007A0001,0.0,0.0,53.267498,7,-6.137292,34.0,3.0,007A,no,0.0,44241.0,36.0,2018.0
jV7gPXcBXOWlsYmd85mI,38.0,73069.0,17.0,285.0,4566.0,1.0,273.0,0.0,"[-6.258871, 53.347192]",2018-03-13 15:34:21,13.0,3.0,204.0,6.0,0,0.07186449749181008,59000.0,no,0.0,"157,104",15.0,5aa7ef84e45b4b4b5545959d,007A0001,0.0,1.0,53.347192,7,-6.258871,34.0,3.0,007A,no,0.0,43083.0,4.0,2018.0
